Slide Type,Table Type,Title,Table Name,Target Calls,Data,,,,,,,,,,,,
Skip,,,Title Slide,,,,,,,,,,,,,,
Single,Ripple,Las Vegas,Brand/Las Vegas,,10/08/2023,$420,,1@$420,2.26,20@$21,"(,,1,)","$2,114",,"1@$2,114",0.45,67@$32,"(,,1,)"
Single,Ripple,Phoenix,Brand/Phoenix,,10/08/2023,$869,,1@$869,1.09,15@$58,"(,,1,)","$4,757",,5@$951,1.10,77@$62,"(,1,4,)"
Single,Ripple,Chicago,Brand/Chicago,,10/08/2023,$278,,0@$0,0.00,6@$46,"(,,,)","$2,100",,"1@$2,100",0.45,42@$50,"(,,1,)"
Single,Ripple,Miami,Brand/Miami,,10/08/2023,$237,,1@$237,4.01,5@$47,"(,,1,)","$1,688",,"1@$1,688",0.56,22@$77,"(,,1,)"
Single,Ripple,Denver,Brand/Denver,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,National,Brand/National,,10/08/2023,$239,,0@$0,0.00,6@$40,"(,,,)",$239,,0@$0,0.00,6@$40,"(,,,)"
Single,Ripple,PI,Combined,,,,,,,,,,,,,,
Single,Ripple,Los Angeles,PI/Los Angeles,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)","$1,326",0@$0,0@$0,0.00,8@$166,"(,,,)"
Single,Ripple,San Jose,PI/San Jose,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$355,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Ontario,PI/Ontario,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$27,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Fresno,PI/Fresno,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Santa Ana,PI/Santa Ana,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Bakersfield,PI/Santa Ana,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Stockton,PI/Stockton,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Dallas,PI/Dallas,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)","$1,103",0@$0,0@$0,0.00,5@$221,"(,,,)"
Single,Ripple,Houston,PI/Houston,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)","$2,173",0@$0,0@$0,0.00,7@$310,"(,,,)"
Single,Ripple,Austin,PI/Austin,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,San Antonio,PI/San Antonio,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$605,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Las Vegas,PI/Las Vegas,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Phoenix,PI/Phoenix,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)","$1,241",0@$0,0@$0,0.00,2@$620,"(,,,)"
Single,Ripple,Chicago,PI/Chicago,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Miami,PI/Miami,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Denver,PI/Denver,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
